L,MAPE_avg_mean,MAPE_avg_std,MAE_avg_mean,MAE_avg_std,MSE_avg_mean,MSE_avg_std,RMSE_avg_mean,RMSE_avg_std,BDS_pvalue_h1_mean
7,14.299136641505871,9.026122021919175,0.015695119638143518,0.0006436792302074816,0.0004509312053117078,6.717730193119626e-05,0.02117601062578625,0.0015901035343694214,
14,14.65536786870037,10.018432967113824,0.015711589812781472,0.0005142970011606001,0.0004595395689219548,3.753975486055581e-05,0.021412888058122803,0.0008747135356147146,
21,13.4870252859647,7.792923780502994,0.015594778045060828,0.0003892925563825067,0.0004587314278370412,3.734474877972642e-05,0.02139364377857927,0.0008682283425430158,
28,12.97710887365273,6.905705664449909,0.015710491898616404,0.0005128717294362018,0.00046603847232026525,5.7353197012708405e-05,0.021541536526015388,0.001352458081057235,
