L,MAPE_avg_mean,MAPE_avg_std,MAE_avg_mean,MAE_avg_std,MSE_avg_mean,MSE_avg_std,RMSE_avg_mean,RMSE_avg_std,BDS_pvalue_h1_mean
7,13.064237860377734,6.8848750998518256,0.015818517437685704,0.00101342613640976,0.0004577827761202903,0.00011071997465011538,0.021263030529637468,0.0024773421060794772,0.4105854535487571
14,14.394964656107168,8.32882444450019,0.0156370356689354,0.0009031911618770409,0.00045119428219256026,0.0001051498463654762,0.02111723792235417,0.0023518100939077156,0.2816389880818217
21,12.869669290536985,5.871194660713264,0.015712753496313247,0.0005789197190219549,0.0004573923021707623,0.00010678009269146845,0.021267909238712364,0.0023517720971906464,0.21126408937628413
28,12.806913003576753,7.303532647059268,0.015509754166961006,0.0004493380631402071,0.0004511774079243605,7.392662244540983e-05,0.02117082964638362,0.001714024458298439,0.5125834171605785
