L,MAPE_avg (mean±std),MAE_avg  (mean±std),MSE_avg  (mean±std),RMSE_avg (mean±std),BDS_pvalue_h1_mean
7,13.064238 ± 6.884875,0.015819 ± 0.001013,0.000458 ± 0.000111,0.021263 ± 0.002477,0.410585
14,14.394965 ± 8.328824,0.015637 ± 0.000903,0.000451 ± 0.000105,0.021117 ± 0.002352,0.281639
21,12.869669 ± 5.871195,0.015713 ± 0.000579,0.000457 ± 0.000107,0.021268 ± 0.002352,0.211264
28,12.806913 ± 7.303533,0.015510 ± 0.000449,0.000451 ± 0.000074,0.021171 ± 0.001714,0.512583
